S. No.,Player,Team,Type,Role,Tier,Base Price,Winning Bid,Owner,,,,,,,,
155,Raj Bawa,Punjab Kings,I,Bowler,3,1,,,,,,,,,,
156,Nathan Ellis,Punjab Kings,O,Bowler,3,1,,,,,,,,,,
157,Vaibhav Arora,Punjab Kings,I,Bowler,3,1,,,,,,,,,,
158,Ishan Porel,Punjab Kings,I,Bowler,3,1,,,,,,,,,,
159,Harpreet Brar,Punjab Kings,I,Bowler,3,1,0.5,Sree,,,,,,,,
160,Rahul Chahar,Punjab Kings,I,Bowler,2,2.5,2.5,Shekhar,,,,,,,,
161,Kagiso Rabada,Punjab Kings,O,Bowler,1,5,7.5,Dhruv,,,,,,,,
162,Benny Howell,Punjab Kings,O,All-Rounder,3,1,,,,,,,,,,
163,Baltej Singh,Punjab Kings,I,All-Rounder,3,1,,,,,,,,,,
164,Ansh Patel,Punjab Kings,I,All-Rounder,3,1,,,,,,,,,,
165,Liam Livingstone,Punjab Kings,O,All-Rounder,2,2.5,8.5,Sauri,,,,,,,,
166,Rishi Dhawan,Punjab Kings,I,All-Rounder,3,1,0.5,Sauri,,,,,,,,
167,Atharva Taide,Punjab Kings,I,All-Rounder,3,1,,,,,,,,,,
168,Yashasvi Jaiswal,Rajasthan Royals,I,Batsman,2,2.5,2.5,Pranav,,,,,,,,
169,Karun Nair,Rajasthan Royals,I,Batsman,3,1,,,,,,,,,,
170,Rassie van der Dussen,Rajasthan Royals,O,Batsman,2,2.5,1,Ram,,,,,,,,
171,Devdutt Padikkal,Rajasthan Royals,I,Batsman,1,5,8,Shekhar,,,,,,,,
172,Shimron Hetmyer,Rajasthan Royals,O,Batsman,2,2.5,,,,,,,,,,
173,Sanju Samson,Rajasthan Royals,I,WK,2,2.5,3.5,Dhruv,,,,,,,,
174,Jos Buttler,Rajasthan Royals,O,WK,2,2.5,2.5,Pranav,,,,,,,,
175,Dhruv Jurel,Rajasthan Royals,I,WK,3,1,,,,,,,,,,
176,Shubham Garhwal,Rajasthan Royals,I,Bowler,3,1,,,,,,,,,,
177,Kuldip Yadav,Rajasthan Royals,I,Bowler,2,2.5,,,,,,,,,,
178,Nathan Coulter-Nile,Rajasthan Royals,O,Bowler,2,2.5,,,,,,,,,,
179,Navdeep Saini,Rajasthan Royals,I,Bowler,2,2.5,,,,,,,,,,
180,Kuldeep Sen,Rajasthan Royals,I,Bowler,3,1,,,,,,,,,,
181,Obed McCoy,Rajasthan Royals,O,Bowler,3,1,,,,,,,,,,
182,Tejas Baroka,Rajasthan Royals,I,Bowler,3,1,,,,,,,,,,
183,KC Kariappa,Rajasthan Royals,I,Bowler,3,1,,,,,,,,,,
184,Yuzvendra Chahal,Rajasthan Royals,I,Bowler,1,5,9,Sauri,,,,,,,,
185,Prasidh Krishna,Rajasthan Royals,I,Bowler,2,2.5,2.5,Ram,,,,,,,,
186,Trent Boult,Rajasthan Royals,O,Bowler,1,5,5.5,Ram,,,,,,,,
187,Anunay Singh,Rajasthan Royals,I,All-Rounder,3,1,,,,,,,,,,
188,James Neesham,Rajasthan Royals,O,All-Rounder,3,1,,,,,,,,,,
189,Daryl Mitchell,Rajasthan Royals,O,All-Rounder,3,1,1,Dhruv,,,,,,,,
190,Riyan Parag,Rajasthan Royals,I,All-Rounder,2,2.5,,,,,,,,,,
191,Ravichandran Ashwin,Rajasthan Royals,I,All-Rounder,2,2.5,6.5,Sree,,,,,,,,
192,Virat Kohli,Royal Challengers Bangalore,I,Batsman,1,5,11,Sauri,,,,,,,,
193,Suyash Prabhudessai,Royal Challengers Bangalore,I,Batsman,3,1,,,,,,,,,,
194,Faf du Plessis,Royal Challengers Bangalore,O,Batsman,1,5,8.5,Dhruv,,,,,,,,
195,Dinesh Karthik,Royal Challengers Bangalore,I,WK,3,1,1.5,Shekhar,,,,,,,,
196,Anuj Rawat,Royal Challengers Bangalore,I,WK,3,1,,,,,,,,,,
197,Finn Allen,Royal Challengers Bangalore,O,WK,3,1,,,,,,,,,,
198,Luvnith Sisodia,Royal Challengers Bangalore,I,WK,3,1,,,,,,,,,,
199,Mohammed Siraj,Royal Challengers Bangalore,I,Bowler,2,2.5,4,Pranav,,,,,,,,
200,Karn Sharma,Royal Challengers Bangalore,I,Bowler,2,2.5,,,,,,,,,,
201,Jason Behrendorff,Royal Challengers Bangalore,O,Bowler,3,1,,,,,,,,,,
202,Siddharth Kaul,Royal Challengers Bangalore,I,Bowler,3,1,0.5,Sauri,,,,,,,,
203,Chama Milind,Royal Challengers Bangalore,I,Bowler,3,1,,,,,,,,,,
204,Josh Hazlewood,Royal Challengers Bangalore,O,Bowler,2,2.5,3.5,Dhruv,,,,,,,,
205,Harshal Patel,Royal Challengers Bangalore,I,Bowler,1,5,5,Dhruv,,,,,,,,
206,Akash Deep,Royal Challengers Bangalore,I,Bowler,3,1,,,,,,,,,,
207,Glenn Maxwell,Royal Challengers Bangalore,O,All-Rounder,1,5,12,Shekhar,,,,,,,,
208,David Willey,Royal Challengers Bangalore,O,All-Rounder,3,1,,,,,,,,,,
209,Mahipal Lomror,Royal Challengers Bangalore,I,All-Rounder,3,1,1,Pranav,,,,,,,,
210,Sherfane Rutherford,Royal Challengers Bangalore,O,All-Rounder,3,1,,,,,,,,,,
211,Aneeshwar Gautam,Royal Challengers Bangalore,I,All-Rounder,3,1,,,,,,,,,,
212,Shahbaz Ahmed,Royal Challengers Bangalore,I,All-Rounder,3,1,1,Ram,,,,,,,,
213,Wanindu Hasaranga,Royal Challengers Bangalore,O,All-Rounder,2,2.5,8,Sauri,,,,,,,,
214,Kane Williamson,Sun Risers Hyderabad,O,Batsman,1,5,7,Sree,,,,,,,,
215,Aiden Markram,Sun Risers Hyderabad,O,Batsman,2,2.5,4,Pranav,,,,,,,,
216,Shashank Singh,Sun Risers Hyderabad,I,Batsman,3,1,,,,,,,,,,
217,R Samarth,Sun Risers Hyderabad,I,Batsman,3,1,,,,,,,,,,
218,Rahul Tripathi,Sun Risers Hyderabad,I,Batsman,2,2.5,4.5,Avadesh,,,,,,,,
